tie;ajorata;kaista;osa;aet;let;tietyyppi;s_tietyyppi;katyyppi;s_katyyppi
2;0;11;18;2378;2879;1;tie;1;pääkaista
2;0;21;18;2095;2378;1;tie;1;pääkaista
2;0;21;18;2378;2879;1;tie;1;pääkaista
2;1;11;18;0;60;1;tie;1;pääkaista
2;1;11;18;60;2075;1;tie;1;pääkaista
2;1;11;18;2075;2095;1;tie;1;pääkaista
2;1;12;18;60;2075;1;tie;2;ohitus
2;2;21;18;0;60;1;tie;1;pääkaista
2;2;21;18;60;2075;1;tie;1;pääkaista
2;2;21;18;2075;2095;1;tie;1;pääkaista
2;2;22;18;60;2075;1;tie;2;ohitus
2;0;11;19;0;2003;1;tie;1;pääkaista
2;0;21;19;0;2003;1;tie;1;pääkaista
2;0;11;20;0;7585;1;tie;1;pääkaista
2;0;12;20;7406;7585;1;tie;4;oma_vas
2;0;21;20;0;7585;1;tie;1;pääkaista
2;0;11;21;0;5827;1;tie;1;pääkaista
2;0;21;21;0;5827;1;tie;1;pääkaista
2;0;22;21;0;184;1;tie;4;oma_vas
2;0;11;22;0;4800;1;tie;1;pääkaista
2;0;13;22;3020;3188;1;tie;3;oma_oik
2;0;21;22;0;4800;1;tie;1;pääkaista
2;0;11;23;0;6767;1;tie;1;pääkaista
2;0;11;23;6767;10267;1;tie;1;pääkaista
2;0;11;23;10267;12567;1;tie;1;pääkaista
2;0;11;23;12567;14438;1;tie;1;pääkaista
2;0;12;23;7290;7429;1;tie;4;oma_vas
2;0;12;23;10267;12567;1;tie;2;ohitus
2;0;12;23;13989;14183;1;tie;4;oma_vas
2;0;13;23;14259;14438;1;tie;3;oma_oik
2;0;21;23;0;6767;1;tie;1;pääkaista
2;0;21;23;6767;10267;1;tie;1;pääkaista
2;0;21;23;10267;12567;1;tie;1;pääkaista
2;0;21;23;12567;14438;1;tie;1;pääkaista
2;0;22;23;10267;12567;1;tie;2;ohitus
2;0;23;23;7446;7563;1;tie;3;oma_oik
2;0;23;23;14183;14385;1;tie;3;oma_oik
2;0;11;25;0;4111;1;tie;1;pääkaista
2;0;11;25;4111;4229;1;tie;1;pääkaista
2;0;21;25;0;4111;1;tie;1;pääkaista
2;0;21;25;4111;4229;1;tie;1;pääkaista
2;0;22;25;0;200;1;tie;4;oma_vas
2;0;11;26;0;4009;1;tie;1;pääkaista
2;0;12;26;3811;4009;1;tie;4;oma_vas
2;0;21;26;0;4009;1;tie;1;pääkaista
2;0;11;27;0;3791;1;tie;1;pääkaista
2;0;12;27;1749;1853;1;tie;4;oma_vas
2;0;13;27;1902;1999;1;tie;3;oma_oik
2;0;13;27;3453;3648;1;tie;3;oma_oik
2;0;21;27;0;3791;1;tie;1;pääkaista
2;0;22;27;0;127;1;tie;4;oma_vas
2;0;22;27;2021;2176;1;tie;4;oma_vas
2;0;23;27;1876;1981;1;tie;3;oma_oik
2;0;11;28;0;6214;1;tie;1;pääkaista
2;0;21;28;0;6214;1;tie;1;pääkaista
2;0;23;28;166;305;1;tie;3;oma_oik
2;0;11;29;0;2847;1;tie;1;pääkaista
2;0;21;29;0;2847;1;tie;1;pääkaista
2;0;11;30;0;6029;1;tie;1;pääkaista
2;0;11;30;6029;9626;1;tie;1;pääkaista
2;0;21;30;0;6029;1;tie;1;pääkaista
2;0;21;30;6029;9626;1;tie;1;pääkaista
2;0;11;31;0;2676;1;tie;1;pääkaista
2;0;11;31;2676;4415;1;tie;1;pääkaista
2;0;11;31;4415;4466;1;tie;1;pääkaista
2;0;11;31;4466;4504;1;tie;1;pääkaista
2;0;12;31;4466;4504;1;tie;2;ohitus
2;0;21;31;0;2676;1;tie;1;pääkaista
2;0;21;31;2676;4415;1;tie;1;pääkaista
2;0;21;31;4415;4466;1;tie;1;pääkaista
2;0;21;31;4466;4504;1;tie;1;pääkaista
2;1;11;31;4504;4553;1;tie;1;pääkaista
2;1;11;31;4553;4666;1;tie;1;pääkaista
2;1;12;31;4504;4553;1;tie;2;ohitus
2;1;12;31;4553;4666;1;tie;2;ohitus
2;2;21;31;4504;4553;1;tie;1;pääkaista
2;2;21;31;4553;4666;1;tie;1;pääkaista
2;2;22;31;4553;4666;1;tie;2;ohitus
2;0;11;32;1645;1989;1;tie;1;pääkaista
2;0;11;32;1989;4587;1;tie;1;pääkaista
2;0;21;32;1645;1989;1;tie;1;pääkaista
2;0;21;32;1989;4587;1;tie;1;pääkaista
2;1;11;32;0;1525;1;tie;1;pääkaista
2;1;11;32;1525;1645;1;tie;1;pääkaista
2;1;12;32;0;1525;1;tie;2;ohitus
2;2;21;32;0;1525;1;tie;1;pääkaista
2;2;21;32;1525;1645;1;tie;1;pääkaista
2;2;22;32;0;1525;1;tie;2;ohitus
2;2;22;32;1525;1645;1;tie;2;ohitus
2;0;11;33;0;7224;1;tie;1;pääkaista
2;0;21;33;0;7224;1;tie;1;pääkaista
2;0;11;34;0;3412;1;tie;1;pääkaista
2;0;11;34;3412;3495;1;tie;1;pääkaista
2;0;21;34;0;3412;1;tie;1;pääkaista
2;0;21;34;3412;3495;1;tie;1;pääkaista
2;0;11;35;0;3613;1;tie;1;pääkaista
2;0;11;35;3946;5441;1;tie;1;pääkaista
2;0;11;35;5441;6421;1;tie;1;pääkaista
2;0;11;35;6421;6508;1;tie;1;pääkaista
2;0;11;35;8537;8608;1;tie;1;pääkaista
2;0;11;35;8608;10747;1;tie;1;pääkaista
2;0;12;35;6421;6508;1;tie;2;ohitus
2;0;12;35;8537;8608;1;tie;2;ohitus
2;0;21;35;0;3613;1;tie;1;pääkaista
2;0;21;35;3946;5441;1;tie;1;pääkaista
2;0;21;35;5441;6421;1;tie;1;pääkaista
2;0;21;35;6421;6508;1;tie;1;pääkaista
2;0;21;35;8537;8608;1;tie;1;pääkaista
2;0;21;35;8608;10747;1;tie;1;pääkaista
2;0;22;35;6421;6508;1;tie;2;ohitus
2;0;22;35;8537;8608;1;tie;2;ohitus
2;1;11;35;3613;3946;1;tie;1;pääkaista
2;1;11;35;6508;8537;1;tie;1;pääkaista
2;1;12;35;6508;8537;1;tie;2;ohitus
2;2;21;35;3613;3946;1;tie;1;pääkaista
2;2;21;35;6508;8537;1;tie;1;pääkaista
2;2;22;35;6508;8537;1;tie;2;ohitus
2;0;11;37;0;3190;1;tie;1;pääkaista
2;0;21;37;0;3190;1;tie;1;pääkaista
2;0;11;38;0;8829;1;tie;1;pääkaista
2;0;21;38;0;8829;1;tie;1;pääkaista
2;0;11;39;0;1243;1;tie;1;pääkaista
2;0;13;39;1003;1243;1;tie;3;oma_oik
2;0;21;39;0;1243;1;tie;1;pääkaista
2;0;11;40;0;3545;1;tie;1;pääkaista
2;0;11;40;3545;3568;1;tie;1;pääkaista
2;0;11;40;3568;8166;1;tie;1;pääkaista
2;0;21;40;0;3545;1;tie;1;pääkaista
2;0;21;40;3545;3568;1;tie;1;pääkaista
2;0;21;40;3568;8166;1;tie;1;pääkaista
2;0;11;42;0;4958;1;tie;1;pääkaista
2;0;21;42;0;4958;1;tie;1;pääkaista
2;0;11;43;0;5206;1;tie;1;pääkaista
2;0;11;43;5206;6823;1;tie;1;pääkaista
2;0;11;43;9080;11391;1;tie;1;pääkaista
2;0;11;43;11391;11474;1;tie;1;pääkaista
2;0;21;43;0;5206;1;tie;1;pääkaista
2;0;21;43;5206;6823;1;tie;1;pääkaista
2;0;21;43;9080;11391;1;tie;1;pääkaista
2;0;21;43;11391;11474;1;tie;1;pääkaista
2;1;11;43;6823;8960;1;tie;1;pääkaista
2;1;11;43;8960;9080;1;tie;1;pääkaista
2;1;12;43;6823;8960;1;tie;2;ohitus
2;2;21;43;6823;8960;1;tie;1;pääkaista
2;2;21;43;8960;9080;1;tie;1;pääkaista
2;2;22;43;6823;8960;1;tie;2;ohitus
2;0;11;45;0;260;1;tie;1;pääkaista
2;0;11;45;260;2920;1;tie;1;pääkaista
2;0;11;45;2920;4670;1;tie;1;pääkaista
2;0;11;45;4670;5000;1;tie;1;pääkaista
2;0;11;45;5000;6500;1;tie;1;pääkaista
2;0;11;45;6500;6678;1;tie;1;pääkaista
2;0;11;45;6678;6865;1;tie;1;pääkaista
2;0;12;45;1907;2091;1;tie;4;oma_vas
2;0;12;45;2920;4670;1;tie;2;ohitus
2;0;13;45;1765;1907;1;tie;3;oma_oik
2;0;13;45;6740;6865;1;tie;3;oma_oik
2;0;21;45;0;260;1;tie;1;pääkaista
2;0;21;45;260;2920;1;tie;1;pääkaista
2;0;21;45;2920;4670;1;tie;1;pääkaista
2;0;21;45;4670;5000;1;tie;1;pääkaista
2;0;21;45;5000;6500;1;tie;1;pääkaista
2;0;21;45;6500;6678;1;tie;1;pääkaista
2;0;21;45;6678;6865;1;tie;1;pääkaista
2;0;22;45;5000;6500;1;tie;2;ohitus
